Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
HU,18,1,-0.013338188,-0.021633398716439167,0.020133949332934328,-1.0744736841595255,0.28261043320671797,-0.061095939408990454,0.017829141976112118,0.23611945631324804,0.19384145915219206,46
X,19,1,-0.00073207077,-0.009176532618602077,0.019707345367365528,-0.46564021929599914,0.6414730493358745,-0.04780292953863852,0.02944986430143436,0.138411815460191,0.07818128493656877,43
AI,19,1,-0.015277233,-0.022251863039785887,0.018169718488529205,-1.2246674627256222,0.22070053816299717,-0.057864511277303125,0.013360785197731352,0.3680746239841085,0.32621072981209526,42
HU,19,1,0.023220459,0.03151566024277288,0.0203886634241654,1.5457442985408918,0.12216633418176097,-0.0084461200685913,0.07147744055413706,0.23611945631324804,0.19384145915219206,46
X,20,1,-0.010978523,-0.01942295191343919,0.0234781429442278,-0.8272780330019417,0.4080794916095315,-0.06544011208412567,0.026594208257247298,0.138411815460191,0.07818128493656877,43
AI,20,1,-0.032150578,-0.039125201099416244,0.018741148730979006,-2.087662910157824,0.03682825279082387,-0.0758578526121351,-0.002392549586697393,0.3680746239841085,0.32621072981209526,42
HU,20,1,-0.018794935,-0.02709013892269528,0.020427266703672342,-1.3261754162060806,0.18478160027737411,-0.06712758166189307,0.012947303816502512,0.23611945631324804,0.19384145915219206,46
X,21,1,-0.04078374,-0.04922817772001815,0.01932423469988346,-2.5474839487596905,0.01085028445385704,-0.08710367773178973,-0.011352677708246564,0.138411815460191,0.07818128493656877,43
AI,21,0,0.0,0.0,0.0,,,,,0.3680746239841085,0.32621072981209526,42
HU,21,1,-0.0013493081,-0.009644505269487357,0.02031060959345432,-0.4748506057935148,0.6348934599850362,-0.04945330007265783,0.030164289533683112,0.23611945631324804,0.19384145915219206,46
X,22,1,0.0006208241,0.009065279110447097,0.019818438661525495,0.4574164123254556,0.6473717698976353,-0.029778860666142867,0.047909418887037064,0.138411815460191,0.07818128493656877,43
AI,22,1,-0.009101534,-0.016076167323675453,0.018258135717733163,-0.8804933631894039,0.37859209894844637,-0.05186211333043245,0.019709778683081543,0.3680746239841085,0.32621072981209526,42
HU,22,1,-0.032191094,-0.040486303480111764,0.019550104030121473,-2.07089964420308,0.038368175438361504,-0.07880450737914985,-0.002168099581073675,0.23611945631324804,0.19384145915219206,46
