Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
AI,16,0,0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,16,0,-0.0,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,17,1,-0.073712915,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,17,1,-0.11870131,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,17,1,-0.16047616,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,18,1,-0.042268433,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,18,1,-0.062176432,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,18,1,-0.013338188,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,19,1,-0.00073207077,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,19,1,-0.015277233,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,19,1,0.023220459,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,20,1,-0.010978523,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,20,1,-0.032150578,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,20,1,-0.018794935,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,21,1,-0.04078374,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,21,0,0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,21,1,-0.0013493081,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,22,1,0.0006208241,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,22,1,-0.009101534,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,22,1,-0.032191094,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,23,1,0.014600255,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,23,0,0.0,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,23,1,-0.0024129727,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,24,1,0.0081011895,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,24,1,0.02587601,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,24,1,0.051369213,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,25,1,0.030534914,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,25,1,0.02636158,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,25,1,0.011349793,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
X,26,0,0.0,0.008444448350219758,0.13534554146443167,0.0778265447016607,43
AI,26,1,-0.025841726,0.006974634313259821,0.36603151010875756,0.32372629702315053,42
HU,26,0,-0.0,0.00829520752913907,0.23295417625592973,0.19412647066113486,46
