Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
X,57,1,0.059661597,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,57,1,0.03718242,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,57,1,0.11202787,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,58,1,-0.0012998754,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,58,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,58,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,59,1,0.019860527,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,59,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,59,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,60,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,60,1,0.005673519,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,60,1,0.035795372,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,61,1,0.03160054,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,61,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,61,1,0.02254545,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,62,0,0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,62,1,0.019342043,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,62,1,0.032730803,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,63,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,63,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,63,1,-0.0001700249,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,64,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,64,1,-0.014559289,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,64,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,65,1,0.027835524,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,65,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
