Outcome,PC,Selected,LASSO_Coefficient,PostLASSO_Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper,Model_R2_insample,Model_R2_CV,N_selected
X,9,1,0.016973943,0.02576797208734432,0.014931267761259559,1.725772553232319,0.08438833946023626,-0.003497312724724415,0.055033256899413054,0.6231461983797097,0.6023266676625999,40
AI,9,1,0.07658063,0.08649692088094764,0.02059883114815416,4.199117913964674,2.6795676591404034e-05,0.04612321183056549,0.1268706299313298,0.26787529537075605,0.22086883849060582,40
HU,9,1,0.042466287,0.046062797173661026,0.012680178712831818,3.632661511863975,0.0002805128859949694,0.021209646896510663,0.0709159474508114,0.7361314040098569,0.7174261750782035,48
X,10,0,0.0,0.0,0.0,,,,,0.6231461983797097,0.6023266676625999,40
AI,10,1,0.030973455,0.040889762334341155,0.020595262979438266,1.9853964659331784,0.047100378862797145,0.0005230468946421513,0.08125647777404016,0.26787529537075605,0.22086883849060582,40
HU,10,1,0.03828929,0.041885817299760916,0.012575004243659937,3.3308789792956848,0.0008657223089451777,0.01723880898218744,0.0665328256173344,0.7361314040098569,0.7174261750782035,48
X,11,1,-0.014310529,-0.0231045601001471,0.014872860534518039,-1.5534711729814397,0.1203106109446459,-0.052255366747802456,0.006046246547508259,0.6231461983797097,0.6023266676625999,40
AI,11,1,0.025997488,0.035913780904835685,0.020577921046193517,1.7452579793758602,0.0809399728738629,-0.004418944345703606,0.07624650615537498,0.26787529537075605,0.22086883849060582,40
HU,11,1,0.05329527,0.05689179112727447,0.012979566288444698,4.3831812144542495,1.169587458552635e-05,0.03145184120192286,0.08233174105262608,0.7361314040098569,0.7174261750782035,48
X,12,1,-0.03880496,-0.04759898920597062,0.015350469266485416,-3.100816553529943,0.0019298781084384333,-0.07768590896828204,-0.0175120694436592,0.6231461983797097,0.6023266676625999,40
AI,12,0,0.0,0.0,0.0,,,,,0.26787529537075605,0.22086883849060582,40
HU,12,1,0.06689049,0.07048701502504236,0.012579064626688534,5.603517997315371,2.1004429560914348e-08,0.04583204835673283,0.09514198169335189,0.7361314040098569,0.7174261750782035,48
X,13,1,0.10779193,0.11658596316981833,0.013896916482949492,8.389340420435055,4.8887718354938744e-17,0.08934800686323732,0.14382391947639933,0.6231461983797097,0.6023266676625999,40
AI,13,1,0.035135735,0.04505202660043149,0.020229474374713785,2.227048798496966,0.025944012610127718,0.00540225682599247,0.08470179637487052,0.26787529537075605,0.22086883849060582,40
HU,13,1,-0.11226333,-0.1158598541641385,0.011818754741395847,-9.803050888122156,1.0923546416484624e-22,-0.13902461345727438,-0.09269509487100265,0.7361314040098569,0.7174261750782035,48
X,14,1,0.07450866,0.08330268253158858,0.014805524672193222,5.626459337036686,1.8394612297568116e-08,0.05428385417408987,0.11232151088908729,0.6231461983797097,0.6023266676625999,40
AI,14,1,0.16281503,0.17273132909365194,0.019846168085248563,8.703510337697947,3.2177306898097148e-18,0.13383283964656476,0.21162981854073912,0.26787529537075605,0.22086883849060582,40
HU,14,1,0.03091541,0.03451192549164352,0.012435180405865026,2.7753457823069496,0.005514304472623767,0.010138971896148073,0.05888487908713898,0.7361314040098569,0.7174261750782035,48
X,15,1,-0.007268848,-0.01606287017897717,0.01502723152723157,-1.0689174616008856,0.2851068629772384,-0.045516243972351045,0.013390503614396705,0.6231461983797097,0.6023266676625999,40
AI,15,1,-0.0771225,-0.08703880658000562,0.020360457911677916,-4.274894354418413,1.912279489455638e-05,-0.12694530408689433,-0.04713230907311691,0.26787529537075605,0.22086883849060582,40
HU,15,1,-0.04305737,-0.04665389108787138,0.01343511396077249,-3.472534079285836,0.0005155695504417165,-0.07298671445098545,-0.0203210677247573,0.7361314040098569,0.7174261750782035,48
X,16,1,0.02716224,0.035956259584324406,0.014486999046171348,2.481967415731072,0.013065922260712702,0.007561741453828562,0.06435077771482026,0.6231461983797097,0.6023266676625999,40
AI,16,1,0.039379008,0.04929531857626057,0.019279641405772395,2.5568586852191855,0.010562211614903049,0.011507221420946678,0.08708341573157447,0.26787529537075605,0.22086883849060582,40
HU,16,1,-0.003151554,-0.006748076566635409,0.01284986913274713,-0.5251474934821193,0.5994806623754634,-0.03193382006681978,0.018437666933548966,0.7361314040098569,0.7174261750782035,48
X,17,1,0.06619875,0.07499278604891334,0.014985486271209497,5.0043611993420205,5.60475789210435e-07,0.045621232957342724,0.10436433914048396,0.6231461983797097,0.6023266676625999,40
AI,17,1,0.014363795,0.024280091026619627,0.021073094545452226,1.1521844109914792,0.24924530219941665,-0.017023174282466733,0.06558335633570599,0.26787529537075605,0.22086883849060582,40
HU,17,1,-0.07885459,-0.08245111879121812,0.012833648864094781,-6.424604542664008,1.322127728952071e-10,-0.10760507056484389,-0.057297167017592354,0.7361314040098569,0.7174261750782035,48
